,Answer,End,Start,TextTitle,Titles,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1
1739,"After reading the story Drama, I would watch the movie Descendants. I would watch Descendants because it has a lot of drama in the movie. Just like the story  the characters in the movie have problems and have to solve them. This movie is a good choice that relates to the text.",[29],[24],Drama,['Drama'],1739,,
1740,"Harry Potter and the Half-Blood Prince has a deeper meaning, as the Half-Blood Prince is Snape. We think it is  Eileen Prince, because her last name is Prince. However, we find that Eileen Prince was Severus Snape is the Half-Blood Price and that Eileen was his mother. Harry then does NOT want to use the book any more, because Snape killed Dumbledore and Harry resents him.",[38],[0],Harry Potter and the Half-Blood Prince,['Harry Potter and the Half-Blood Prince'],1740,,
1741,I think that the movie The Fellowship of the Ring would be good to watch after you read The Fellowship of the Ring because this book is similar to that movie except the movie has a little bit of changes to it.,[113],[88],The Fellowship of the Ring,['The Fellowship of the Rin'],1741,,
1742,Took a story where a family moves in a house and dose't know what is going to happen,[4],[0],Took: A Ghost Story,['Took'],1742,,
1743,"Themes  are places and some times people who take place in a story. They can take  place in a Jungle , City , Mountain , any place you can think of even in Space !  Percy Jackson takes place in a  city i but the city is a average city nothing special but there is a special beach on long island . You  could tell more by reading all the long pages. Themes can also involve people like Percy and the other characters in a story . Another example of a theme is  type of music like in a song or game , Undertale has many , many themes the most famous is megalovnia sans the skeletons theme.",[178],[163],"The Lightning Thief (Percy Jackson and the Olympians, #1)",['  Percy Jackson'],1743,,
1744,Thank you Mr. Falker is a sad and happy book. I personally love the book Thank you Mr. Falker because Patricia Polacco is a great author and wonderful illustrator. She has the best endings ever. She has a lot of books and I love them.,[20],[10],"Thank You, Mr. Falker",['Mr. Falker'],1744,,
1745,"I think the movie Coach Carter would be a great movie to watch after you read the book Seedfolks. Coach Carter relates to Seedfolks because he brings his basketball team closer together, like a family, at the end of the movie. In Seedfolks everyone in the garden is like a family too, and the garden brought the people on Gibb Street together. So, you could say that Coach Carter was like the garden for his basketball team.","[96, 131, 240]","[87, 122, 230]",Seedfolks,"['Seedfolks', 'Seedfolks', 'Seedfolks ']",1745,,
1746,I learned that the Apollo 13 malfunction was caused by an explosion and of oxygen tank no. 2 in the service module. The explosion damaged a line the oxygen tank no.1 causing them to lose air pretty rapidly.  The author of The Martian definitely convinced me by saying it a lot of times over and over again.,[233],[222],The Martian,['The Martian'],1746,,
1747,"The setting of the BFG is in a grass field where there is nothing around. There are also a lot of giants surrounding the BGF's home. Inside the BFG's house are loads of jars full of dreams in it. There are also secret rooms in his home, for example, the room that is full of dreams and unique creations. One more thing is that some of the creations are objects that normal humans use.",[22],[14],The BFG,[' the BFG'],1747,,
1748,"Yes, I loved the way the author of Frindle left the climax at the chapters a mystery so you would keep reading the book. I also liked that the author habitually added a surprise in every chapter at the climax. It was extremely enthusiastic! I believe the author ended the chapters extremely well.",[43],[35],Frindle,['Frindle '],1748,,
1749,"I think my class mates should read Series of Unfortunate Events because,the book has a very good hook and it is very detailed.It is a series of 18 books.The book is about 3 siblings that keep running into trouble.I won't give off to many details so check out the Series of Unfortunate Events.","[63, 292]","[35, 259]",A Series of Unfortunate Events,"['Series of Unfortunate Events', 'the Series of Unfortunate Events.']",1749,,
1750,"Heard there can be  heardof something like cows, chickens, ghosts, or you heard something from that noise forest. And that is the word, heard , that can mean two different things . The word is heard .",[65],[59],Ghosts,['ghosts'],1750,,
1751,"I think that Crenshaw because he has the ability to dissapear. So if he committed a crime he could just dissapear from the scene without anyone knowing he even took a step in the scene. He is also imaginary so if someone saw him, no one else would believe them.",[21],[12],Crenshaw,[' Crenshaw'],1751,,
1752,Nate once called his teacher a ugly dog and I think that shows me that he might be kind of rude and not very nice towards teachers. For example he made up a nick name page for his teacher  and these nick names are not very nice to his teacher and he basically hates a lot of adults because they might make his work and he really doesn't like doing chores.,[5],[0],Big Nate: In a Class by Himself,['Nate '],1752,,
1753,"Hi. My name is Emily and I am here to talk to you about the the book Sisters. One thing I learned from the book is that siblings can be annoying,talkative, and obnoxious we still love them and they still love you. Another lesson I learned is that you can't always fit in. I learned this because in the book Riana feels left out because her cousin is growing up so fast she isn’t talking to Riana but instead talking to her other friends The last thing I learned from the book is that no one is perfect. This is because Riana keeps doing all of these mistakes and her sister and other family members call her out for doing them.",[76],[69],Sisters,['Sisters'],1753,,
1754,"I would draw Ponyboy getting jumped by the Socs, because Ponyboy got jumped in the beginning of The Outsiders.",[109],[96],The Outsiders,['The Outsiders'],1754,,
1755,yes I would like them to be my friend and Captain Underpants and the Arthur it would be nice to me Captain Underpants since I'm a big fan of him his new movie he's,[60],[42],"Captain Underpants and the Big Bad Battle of the Bionic Booger Boy, Part 2: Revenge of the Ridiculous Robo-Boogers",['Captain Underpants'],1755,,
1756,i read a book called two kids  it was just like diary of a wimpy kid but the book did not have chapters in i but diary of a wimpy kid did have chapters in it and two kids  had less pages to read than diary of a wimpy kid  two kids did not have 217 pages in it but diary of a wimpy kid did have that many  pages. Anthony Potts Sep 13 2017,[68],[48],Diary of a Wimpy Kid: Old School,['diary of a wimpy kid'],1756,,
1757,one  part of the book . Is when Alexander and Nikki went on the most slowest spinning tee cups in the hole word that part is bored me because the  tee cups went so slow there was no action in that part of Rumble of the coaster ghost. And one part of the book is when they were on the rollercoaster because there was a ghost and there was action,[232],[205],Rumble of the Coaster Ghost,['Rumble of the coaster ghost'],1757,,
1758,I read Big Nate The crowd goes wild it is by Lincoln Pierce . It is about a boy that loves to play football but in school he always gets in trouble and doesn't get good grades grades so he might not be able to play football he has two I do not know that one and I do not know the other name. The book is really good he does like to play baseball a little bit with his dad and hi friends. He also likes to play basket ball. That is what the book is about.,[35],[7],Big Nate: The Crowd Goes Wild!,['Big Nate The crowd goes wild'],1758,,
1759,I want to be friends with the main character i am reading now (smile) because the main character takes friends for help. And also she makes everything look easy. But most of all she makes it fun.,[68],[63],Smile,['smile'],1759,,
1760,"It introduces the characters and the way to Fablehaven, and how much ignorance they have at the beginning of the story. They eventually actually meet up with their grandparents, and they are happy then.",[54],[44],Fablehaven,['Fablehaven'],1760,,
1761,"""The cabin boy and the prince"" because the whole story is about a prince and a boy and they go on an edvencher together and then they are not friends because the boy has to work for the princes dad the king but on there edvencher they are forcer to become friends! so that is why i think thay should be the title.",[14],[11],The Whipping Boy,['boy'],1761,,
1762,The book is about a boy that got in troble and had to go to a camp and had to dig holes.,[87],[82],Holes,['holes'],1762,,
1763,I would want John Henry to help me. John Henry pulverized the boulder into pebbles because he was so strong.,[24],[12],John Henry,[' John Henry '],1763,,
1764,I think the best thing of the book is San trying Green Eggs and Ham because they taste good I taste of every kindergarten because it was dr. Seuss they only read Green Eggs and Ham.,[67],[49],Green Eggs and Ham,['Green Eggs and Ham'],1764,,
1765,In the book Pugsley takes place at Bowser's Backyard and Camp Bowser.,[19],[12],Pugsley,['Pugsley'],1765,,
1766,I'm curios about how the theme was thought of? The outsiders is about a boy named Ponyboy and his gang that has a Rival the socs . The theme seems more different than other realistic stories I have read before. The realistic themes that I have read were mostly about problems in life but the outsiders has the most questions then the other books I have read.,"[60, 301]","[47, 288]",The Outsiders,"['The outsiders', 'the outsiders']",1766,,
1767,it would make them fight more and be against there chuther. I like big but cannot lie but i love it. it helps you understand the bo but more it helps you understand Charlie and the Chocolate Factory. I outsand the Charlie and the Chocolate Factory.,"[198, 247]","[165, 214]",Charlie and the Chocolate Factory,"['Charlie and the Chocolate Factory', 'Charlie and the Chocolate Factory']",1767,,
1768,"I would rather live in the world of Stone fox, because I would get to meet a famous indian from a different town. I would get to watch a dog sled race. I would enjoy meeting the famous willy who saved his grandfather's farm and be able to tell people that I saw someone save a farm that was their home.",[45],[36],Stone Fox,['Stone fox'],1768,,
1769,I would publish it because it is a Exciting  book the author probably spent a lot of time publishing it so Yes I would publish the book One And Only Ivan,[153],[136],The One and Only Ivan,['One And Only Ivan'],1769,,
1770,Well I've read all the other Diary Of A Wimpy Kid books and they all always have a different conflict which Greg always gets in trouble or stuck in a different situation.,[49],[29],Diary of a Wimpy Kid: Hard Luck,['Diary Of A Wimpy Kid'],1770,,
1771,the last straw,[14],[0],Diary of a Wimpy Kid: The Last Straw,['the last straw'],1771,,
1772,Another text that I have read is Diary of a wimpy kid long haul but I like Diary of a wimpy kid old school better. For example it is funnier more adventuress all in all better text than long haul it is a non fiction fiction text both of them are but old school is just better than long haul.,"[106, 260]","[75, 250]",Diary of a Wimpy Kid: Old School (Book #10) by Jeff Kinney (2015-11-03),"['Diary of a wimpy kid old school', 'old school']",1772,,
1773,Yes every time dav pilkey the author ends a chapter I always want to read more . I Hate reading if it is not captain underpants. When I did not read captain underpants I did not wonder about books to read and now I love to read. I can not believe that I love to read now. It is amazing . Captain underpants is a awesome book,"[127, 167, 306]","[109, 149, 288]",The Adventures of Captain Underpants,"['captain underpants', 'captain underpants', 'Captain underpants']",1773,,
1774,"A part in Drama that totally bored me was probably the part when they just sat around like potato's on the couch. The part that I couldn't stop reading was probably the funniest part, when Callie goes and crushes her Younger brother underneath the couch cushions, a thing I particularly like to do.",[15],[10],Drama,['Drama'],1774,,
1775,"I would hope to live in the world described to me in ""Save Me A Seat"" because in this world I would get to go to school with the main characters. All the feautures in their world seem like an incredible place to live. The food in their world sounds very yummy too, once in the cafeteria there was pizza!!! The people in the story - except Dillon Samreen - all seem fairly nice. That is why if I had the choice I would live in that world.",[68],[54],Save Me a Seat,['Save Me A Seat'],1775,,
1776,"I am reading Dork Diaries Tales from a not so Popular Party Girl. Dork diaries series is my all time favorite series because of how Rachel Rene'e Russel rights them and how funny they are. In this particular book i would take out the part when Nikki (who is the main character) is always talking about her crush Brandon, its so annoying she like Brandon is so adorable this and that like. The only  reason i don't like this particular part is because of who long a how many times she always like Brandon just tell me if you like me or not.","[64, 78]","[13, 66]","The Dork Diaries Set: Dork Diaries Books 1, 2, 3, 3 1/2, 4, and 5","['Dork Diaries Tales from a not so Popular Party Girl', 'Dork diaries']",1776,,
1777,"The deeper meaning of the book, Rain Reign, is about how much one person or animal can change your life. The name Rain Reign is named after her dog and the homonym that the name has. Her dog Rain has a big impact in Rose's story and helps us understand Rose's condition. Rose loves homonyms, which explains her choice of name for her dog. The choice of title also helps us understand that the story will be about Rose and her relationship with her dog.",[42],[32],Rain Reign,['Rain Reign'],1777,,
1778,I have read Wonder which is like Absolutly Truly because they are both realistic fiction. I liked wonder more because it switches views.,[48],[32],Absolutely Truly,[' Absolutly Truly'],1778,,
1779,"I would take Holly from The Terrible Two to mars with me, because she is amazingly bright and she doesn't care how other people judge her. I would also take her because she is not mentioned in this book a lot and I could learn a lot about her. She is also a very sophisticated young lady and has a lot of personality.",[40],[24],The Terrible Two,['The Terrible Two'],1779,,
1780,"Another text that reminds me of this genre is the babysitters book club ""Kristy's Big Idea"". These two texts are these two texts are different because ""Kristy's Big idea"" is told in Kristy's point of you and ""The Truth About Stacey"" is told in Stacy's point of view.",[231],[209],Baby-Sitters Club Graphix #2: The Truth About Stacey (Full Color) (Baby-Sitters Club (Graphix)),['The Truth About Stacey'],1780,,
1781,"My connection to No Talking in the real world is that you can inform someone of  what you would  to tell without talking. You can do it in many different ways like smiling,laughing,or hugging someone to show compassion. Those are just a few ways of telling each other what you would like to tell without talking.",[27],[17],No Talking,['No Talking'],1781,,
1782,i would take away the word lightning because it would no longer be able to be called The lightning thief because the word lightning would be taken away an would just be called the thief.,[104],[85],The Lightning Thief,['The lightning thief'],1782,,
1783,one of the main ideas in holes is enemy's can become friends because zero stole the shoes and threw them on Stanley head and got acused for stealing them,[30],[25],Holes,['holes'],1783,,
1784,George and Martha because that's what the title is.,[17],[0],George and Martha: The Complete Stories of Two Best Friends,['George and Martha'],1784,,
1785,A new title I would give this book is Matilda's Hard Life . I would give this book that title because Matilda's life was hard because of her parents miss  Trechbull and school in general,[57],[38],Matilda,"[""Matilda's Hard Life""]",1785,,
1786,"The author in Itchy , Itchy Chicken Pox  connect each chapter in the story in  events. The story started out when he was sick and end when he went back to school.",[39],[14],"Itchy, Itchy Chicken Pox","['Itchy , Itchy Chicken Pox']",1786,,
1787,Three things that I think that I learned are to be respectful to take responsabilaty  and to listen to our teachers. I would recommend my friends to read the book Frindle,[170],[163],Frindle,['Frindle'],1787,,
1788,"I think it would be good to watch Harry Potter and the Sorcerer's Stone after reading this book, so that I could compare my mental image of Harry, Hermione, and Ron with the movie versions. The directors and producers of Harry Potter probably have different perceptions of the three heroes, as well as the world they inhabit. I want to see how different their perceptions are.",[71],[35],Harry Potter and the Sorcerer's Stone,"[""arry Potter and the Sorcerer's Stone""]",1788,,
1789,"The Giver. It means that the person who can see beyond wants to share what he sees with others. According to the book, The Giver alone holds the memories of the true pain and pleasure of life."" So the Giver is the person who sees far beyond others. Everyone can't see what he see, but later he going to release the memories and everyone will see. In conclusion, the title explains everything that will happen in the book",[9],[0],The Giver,['The Giver'],1789,,
1790,"The book Hatchet is a realistic book brain gets in a plane crash in the Canada forest, that is realistic. Also that could really happen to you maybe  not in a Canada forest somewhere else it could happen.",[16],[9],Hatchet,['Hatchet'],1790,,
1791,"yes. I got encouraged by my mom and dad. It wasn't at all what the main character in hatchet had to face, he had survive in the wilderness, without any motivation whatsoever other than the need to survive.",[92],[85],Hatchet,['hatchet'],1791,,
1792,Drama is about a girl who loves the theater and right know she is a set designer and she is determined to make the best set that has ever been done before. This text is fictional where as other books this author has written have been true stories like her book Smile. Smile is about her life story that actually happened to her about her teeth and school drama.,"[5, 266, 273]","[0, 260, 268]",Drama,"['Drama', ' Smile', 'Smile']",1792,,
1793,Thomas knew Teresa from designing the maze before they were brought to the Glade. Thomas at first felt confused because he thought he recognized her but he doesn't really remember is life before. Teresa when she first gets to the glade knows Thomas's name but doesn't exaclty know how she knows his name. When Thomas injects himself with the griever sting it hallucinates him to where he remembers what his life was like before. He remembers him and Teresa saying that this wasn't right to hurt these people and keep them in a maze where they are disconnected from the world.,"[42, 531]","[34, 527]",The Maze Runner,"['the maze', 'maze']",1793,,
1794,The part that made me the happiest was when marty got to keep shiloh at the end i was happy because Judd travers was kicking shiloh not feeding him enough mistreating him,"[69, 131]","[62, 125]",Shiloh,"['shiloh ', 'shiloh']",1794,,
1795,I would watch the long haul because it has relates like staying at the motel and going to the fair.it is related more than it is not related,[27],[14],Diary of a Wimpy Kid: The Long Haul,['the long haul'],1795,,
1796,I Recmond people to read this book because this book helps you learn how to give. This book is a book   people should read because it can help them learn a lease on that is why I think people should read the giving tree,[219],[204],The Giving Tree,['the giving tree'],1796,,
1797,This book is amazing.I recommend this book to people that like adventure books or even people that like wonderful books. Hatchet  is probably one of the best book i have ever read.This book dose have some sad parts about this book though.,[128],[121],Hatchet,['Hatchet'],1797,,
1798,"Giant Nate is about a kid that doesn't have the best life ever. The main idea is about a kid with a not the best life,but he  has his friends Teddy and Francis. In another Giant Nate book Nate has the same problems and both books end with a pop quiz.","[10, 182]","[0, 172]","Big Nate: Thunka, Thunka, Thunka","['Giant Nate', 'Giant Nate']",1798,,
1799,"A theme so far for Hatchet is ""never give up even when you are frighted."" Brian was super scared of what would happen if the searchers never found him. Brian never gave up though. He always worked hard when he was starving, in pain, and depressed.",[26],[19],Hatchet,['Hatchet'],1799,,
1800,"The Haunting of Sunshine Girl, #2 is about Sunshine going of to Mexico for some training of her important duties. Trouble is heading her way and the only way to stop it is by going to Mexico for training.",[29],[4],"The Awakening of Sunshine Girl (The Haunting of Sunshine Girl, #2)",['Haunting of Sunshine Girl'],1800,,
1801,The story the outsiders is about a rivalry between people called greasers and soc,[23],[10],The Outsiders,['the outsiders'],1801,,
1802,After reading Everything Everything I would watch Everything Everything. I think the movie closely relates to the book but isn't nearly a great as the book.,"[36, 71]","[14, 50]","Everything, Everything","['Everything Everything ', 'Everything Everything']",1802,,
1803,That in the start of the selection she proposed to be friends with Maxen and he says yes and that is the start of their relationship so in the end of the first book the kiss,[34],[21],The Selection,['the selection'],1803,,
1804,I  read this book smile and I itis one of the best books I've ever read. The way that the author wrote the book  just gives so much detail about what is happening. This book has a well developed story in fact I believe  it's unique and should be read by all world. I was so inspired by this book and I suggest that  the author should make many more books like this one.,[23],[18],Smile,['smile'],1804,,
1805,The attack of the deftly bullies the book title have to be Tatie because it is a cool title for the book lot of. People will . Read this is will be a good title,"[17, 32]","[0, 25]",Attack of the BULLIES,"['The attack of the', 'bullies']",1805,,
1806,the theme of the book wonder is that you should treat everyone nicely even if they look different,[28],[22],Wonder,['wonder'],1806,,
1807,Middel school is the same auther but Word of Mouse is about a mouse and Middel school is about Middel school,[50],[37],Word of Mouse,['Word of Mouse'],1807,,
1808,"The character in Harry Potter and the Sorcerer's Stone that is least like my teacher is Professor Snape. Snape is always unfair, and favors Slitheryn over everyone else. He is most unlike my teacher who is repeatedly fair, and is unbiased.",[54],[17],Harry Potter and the Sorcerer's Stone,"[""Harry Potter and the Sorcerer's Stone""]",1808,,
1809,Frindle is one name that is wired and it means pen. You would probably know what frindle means if you read the whole book. I love this book you should read it.,"[7, 88]","[0, 81]",Frindle,"['Frindle', 'frindle']",1809,,
1810,"The title of the text that I read was ""Lemony Snicket: The Unauthorized Autobiography"". Lemony Snicket is a very mysterious and secretive author. This book explains all of that, but it's unauthorized because in the book it talks about how when he's  secretive it causes him to be suspicious.",[85],[39],Lemony Snicket: The Unauthorized Autobiography,['Lemony Snicket: The Unauthorized Autobiography'],1810,,
1811,Percy Jackson's The Lightning Thief is a wonderful book in my opinion. I recommend this book to everyone who loves fiction books involving Greek God's.,[35],[16],"The Lightning Thief (Percy Jackson and the Olympians, #1)",['The Lightning Thief'],1811,,
1812,The author got me to understand the theme of crossed by Cassia  explaining what had happened to her self during the war.,[52],[45],Crossed,['crossed'],1812,,
1813,I think that the book Smile is a great book because it is detailed really good and it tells about what she has been through and tells what she felt like when it happened.,[27],[22],Smile,['Smile'],1813,,
1814,"stone fox is about a boy who lives with his grandfather and his grandfather goes into some kind of sickness and the boy was determined to find out and when he do he don't have enough money so he enters the dog sled race and his dogs goes hard but it dies and stone fox says"" if you cross the finish i will kill you""",[9],[0],Stone Fox,['stone fox'],1814,,
1815,"The story would change a lot because it is not telling about Dave's point of view.The story is telling about Lindsey's point of view.It wouldn't be called 'No Talking"" it would be called""No more Talking"".",[166],[156],No Talking,['No Talking'],1815,,
1816,"Yes,  because A Tale Dark & Grimm is made up by the Grimm brothers who talks about Hansel and Gretal from another fairy tale, but the Grimm Brothers made it to where it is gross and cool.",[37],[14],A Tale Dark & Grimm,['A Tale Dark & Grimm is '],1816,,
1817,"Julie, who is one of the people in the book Flipped, has a fear. She has had a crush on her neighbor, Bryce, ever since he moved into her neighborhood  in second grade. Bryce has done a lot of bad things to her. For example, Bryce has made fun of her uncle, who is mentally retarded. She believes that Bryce doesn't love her back, and that is what she fears. If I had to coach her and get her to face her fears, she would have to tell Bryce what he did was not nice, and forgive him for it. She should tell Bryce her feelings about him and not be a procrastinator about it.",[51],[44],Flipped,['Flipped'],1817,,
1818,"If the text went on for 5-10 more pages I think that The Lightning Queen would have described to the boy what the message had written on the note, and the gypsies would have stayed  a few more extra days.",[72],[53],The Lightning Queen,['The Lightning Queen'],1818,,
1819,The new title should be The Place Of Bones. It should be called that because Valley Of The Giant Skeletons is to long.,[106],[77],Valley Of The Giant Skeletons,['Valley Of The Giant Skeletons'],1819,,
1820,"The movie Divergent would be good to watch before or after reading The Program.  In the movie, agents go into a person's mind to clean up a person's memories.  In The Program, a person's memories are wiped clean.  In both the book and movie, people were not happy about having their memories manipulated.  Both are about futuristic and fantasy procedures that I hope could never truly happen in our society.","[78, 175]","[67, 163]","The Program (The Program, #1)","['The Program', 'The Program,']",1820,,
1821,"Other texts that I have read in the same genre include Half Upon a Time and several fractured fairy tales. All of these books take a fairy tale and twist the story into a new concept. Out of all of these texts, I liked Cinder best because it took the tale of Cinderella and added more science fictionand adventure elements to the story. I also liked how Cinder was more courageous and independent in this version.",[225],[219],Cinder,['Cinder'],1821,,
1822,When the pigeon yells at the bus driver and the bus driver says no you can't.,[39],[9],Don't Let the Pigeon Drive the Bus!,['pigeon yells at the bus driver'],1822,,
1823,"I think a outstanding movie to watch before or after reading this book would be the movie ""holes"". I think this because then you could compare how the movie and the book are similar, and how they are different. Also, it would help you further understand the book if you can see the characters actually moving and talking.",[96],[91],Holes,['holes'],1823,,
1824,one of the characters in Harry Potter and the Sorcerer's Stone is Harry Potter Harry Potter is a Kind and Generous boy who got a letter from an owl when they were in a storm and it was a letter to go into Diagon Alley and get and get like wizard supplies and he was very excited to do that because he met this guy named Dumbledore and he was kind of like a wizard but not exactly and Harry Potter is very nice.,[62],[25],Harry Potter and the Sorcerer's Stone,"[""Harry Potter and the Sorcerer's Stone""]",1824,,
1825,Some thing that is true in 'Sisters' is that it about the authors life. I know that because It tells me that so it is a true fact.,[35],[28],Sisters,['Sisters'],1825,,
1826,I don't think that it made me a better person or a worse person because I feel like the same person as I was before the story frindle but I don't feel different than before I read frindle so that's  how I feel about myself now than the begining of the book frindle. I was so excited when I heard we were reading frindle because I heard all the 5th graders where going to read it so I wonted to read.,[133],[126],Frindle,['frindle'],1826,,
1827,I think Dog Man would enjoy a friendship with me because I am realy nice to dogs. I give them treats food scratches and love. Dogs love me and I love them.,[16],[8],Dog Man,['Dog Man '],1827,,
1828,I have not read another book from the author before but if I did I would give it a five star rating. I would read another book from the author of the whipping boy.,[162],[146],The Whipping Boy,['the whipping boy'],1828,,
1829,I would be laughing my pants off and crying at the same time when I read captain underpants the title makes me cry so hard.,[92],[73],Captain Underpants and the Attack of the Talking Toilets,['captain underpants '],1829,,
1830,The author of Captain Underpants and the Attack of the Talking Toilets is Dav Pikley,[70],[14],Captain Underpants and the Attack of the Talking Toilets,['Captain Underpants and the Attack of the Talking Toilets'],1830,,
1831,"The narrator is the author Lois Lowry. If I would choose a new author it would be Jonas the main character in The Giver. In the book, Jonas would be my choice because he experiences  a lot of painful times and joyful times. This would help us understand the book more, make it more intriguing, and we can read the book from Jonas' point of view.",[119],[110],The Giver,['The Giver'],1831,,
1832,They Wold both have a mane character but it would not be the same type of story frindle is about a boy the other story may be about a animal or a girl,[87],[80],Frindle,['frindle'],1832,,
1833,No there is not a bad guy in this story and i know and i read the book  cabin fever  and i hope there will be no bad guys in this book.,[83],[72],Diary of a Wimpy Kid: Cabin Fever,['cabin fever'],1833,,
1834,I chose the book because Piper is just like me Piper chats a lot just like me.Piper makes me laugh cause he thinks she does not like him.,"[30, 52, 83]","[25, 47, 78]",Piper Green and the Fairy Tree,"['Piper', 'Piper', 'Piper']",1834,,
1835,amazing book it was fantastic loved the drama in it plus it got intense you should read dork diaries tales from a not so popular party girl its fantastic.,[139],[101],Tales from a Not-So-Popular Party Girl,['tales from a not so popular party girl'],1835,,
1836,"Harry Potter would be a good movie to watch after this book because just like in Enemy Pie, the main character has learn to get along with others and make friends with people he doesn't know.",[90],[81],Enemy Pie,['Enemy Pie'],1836,,
1837,nick would be a super hero if he could get away with everything if he wanted to .the book made me feel exited.and I liked it a lot I think frindle is a good book and its really cool,[146],[139],Frindle,['frindle'],1837,,
1838,"I’d rather be friends with the main character from the Two Towers than with Winston. Both of us are short (that’s already quite splendid) and I enjoy fantasy. Swords, ogres, elves... it would be quite enjoyable.  If I was Winston’s friend, I’d have to live in a dictatorial regime where we are forced to praise a figurehead that may not even exist and... isn’t that enough? Also, friendship is probably banned in Oceania.",[65],[51],The Two Towers,['the Two Towers'],1838,,
1839,"If given the opportunity to speak with S.E. Hinton, the author of the novel Outsiders, I would ask her: ¨Why is it always so gloomy in the town? Why is the town so broken down and gloomy? Why don’t the characters bother to get a job and help to fix up the city? Why don't the outsiders stick up for themselves? Why are they always fighting? Why don't the parents get along with their kids?¨ I am curious about the answers to these questions because I don't know why they do that they should try to get along with them to help save their town so they don’t get bossed around by the other kids who try to hurt them or kill them. If they were to stand up to them maybe they could fight back and not always have the police arrest them and they can be better than the kids who pick on them.",[85],[76],The Outsiders,['Outsiders'],1839,,
1840,"The main theme of Rapunzels Revenge is that you should be kind to everyone equally. Mother Gothel the an evil person trying to be the best. Rapunzel gets taken outside of the wall she finds her real mother. Rapunzel argues with Mother Gothel andgets sent into a very large, tall tree. The longer she's there her hair gets longer. She stayed trapped inside the the tree for four years. Gothel came for her sixteenth birthday, and once she left the holes were getting smaller and Rapunzel escaped from the tree.",[35],[17],Rapunzel's Revenge,[' Rapunzels Revenge'],1840,,
1841,The book of The Blue Ghost has a women who yous to live in there grandmas house that is now a ghost.this girl named Elizabeth was staying at her grandmas house and the blue ghost calls her Elizabeth but her grandma and her friends call her Liz but she was not familiar with Elizabeth she was familiar with Liz.,[25],[12],The Blue Ghost,['The Blue Ghos'],1841,,
1842,"Just to make this book review sweet and short i will start off like this: The maze runner is basically a story about a young boy named Thomas who comes to a unknown world with no memory from his past but with only the knowing of his name. He meets new friends and then he get introduced to the maze, yet a day after his welcoming he meets a new member of their society and apart from everyone being boys the new member turns out to be a girl! later on Thomas sets out and his curiosity sparks in and he craves to know what is behind the walls and explore what is in maze, yet what he finds out what is in there leads him to a shocking discovery leading to a trailed off ending. Wanna know? read to find out! Thanks for reading and hope you enjoy the Maze Runner. Baaiiii =^*^= but that was just the first book.....Read the rest of the series to find out what happens!",[761],[750],The Maze Runner Series,['Maze Runner'],1842,,
1843,General Savori would must likely be suspected as the criminal. He is assumed as the main antagonist in Skeleton Key and the CIA and SAS are suspicious of him. Some smugglers delivered a nuke to his island and were killed. He plans to use the nuke to recreate the USSR.,[116],[103],Skeleton Key,['Skeleton Key '],1843,,
1844,"I think Raina Telgemier wrote the book ""Smile' because, it's like a realistic-fiction book. It is something that could happen in real life. The story is about a girl who was racing her friend to her house, and she tripped and fell. She knocked her one of her top teeth out, and she pushed the other front tooth up into her gum. So she had to go to the dentist to get the teeth fixed, she didn't like the way her teeth looked. She didn't like to smile to a camera for a picture, or just anything like that. Everyone thought how her tooth feel out and got pushed up was cool, but she didn't think it was. So she got to look normal and she felt better about her teeth, and at the end of the book there was a picture when she smiled. I think the author wrote this because, she is teaching you not to feel different about yourself, in anyway and just feel good because in the end it's all better. I would recommend this book to people that feel different at times about there selves.",[45],[40],Smile,['Smile'],1844,,
1845,The title of the text is Rikki-Tikki-Tavi. The title of the text is that because because Rikki-Tikki-Tavi is the main character in the text and he makes up a very important role. He protects his friends and family from the little brown snake Karait and the king and queen cobras Nag and Nagaina. Rikki-Tikki-Tavi is brave and resembles a real hero who may have fear but is still brave and is still keeps going even though he is cared. But he knows that this is what mongooses were really made to do.,[42],[25],Rikki-Tikki-Tavi,['Rikki-Tikki-Tavi.'],1845,,
1846,"my favorite character in The fourteenth goldfish is Ellie. Ellie was having a hard time in her life, trying to move forward and find her passion.  She did, and that is why she is my favorite character.",[49],[24],The Fourteenth Goldfish,[' The fourteenth goldfish '],1846,,
1847,I think that the movie that is most like Mr. Terupt Falls Again is Inside Out. I think it is like that because both the story/movie characters face problems that they need to solve and they both go through sad times.,[63],[41],Mr. Terupt Falls Again,['Mr. Terupt Falls Again'],1847,,
1848,"Something had happened to Pop, he was in the Twin Towers when they were falling.He saved a woman that was having trouble getting out. He also lost his close friends. It tells me that he is now sick, tired, discouraged, and depressed, gloomy, and miserable.",[56],[50],Towers Falling,['Towers'],1848,,
1849,"In this book i learned don't say anyone wrong.No one is right and no one is right.It like when Matilda's dad said"" you wrong and I'm right.Also don't be mean to anyone.",[102],[95],Matilda,['Matilda'],1849,,
1850,find assassin is my favorite book it is about Killers killing people,[13],[5],The Reluctant Assassin,['assassin'],1850,,
1851,"Yes, I look up to Ivan because he was able to help Ruby like he promised Stella.  He had compassion for Ruby and Stella.",[22],[18],The One and Only Ivan,['Ivan'],1851,,
